participants,model1_s_p,model1_s_v,model1_r,model1_ss,model2_s_p,model2_s_v,model2_w,model2_r,model2_ss,model3_s_p,model3_s_v,model3_w0,model3_a,model3_r,model3_ss,model2mod_s_p,model2mod_s_v,model2mod_w_pain,model2mod_w_vision,model2mod_r,model2mod_ss,model3mod_s_p,model3mod_s_v,model3mod_w0_p,model3mod_w0_v,model3mod_a_p,model3mod_a_v,model3mod_r,model3mod_ss,model_2_vs_1_F,model_2_vs_1_P,model_3_vs_2_F,model_3_vs_2_P,model_2mod_vs_2_F,model_2mod_vs_2_P,model_3mod_vs_3_F,model_3mod_vs_3_P,model_3mod_vs_2mod_F,model_3mod_vs_2mod_P,best_model,best_model_label
sub-01,1.02145,2.11169,0.390931602606871,32894.5706448985,1.05461,2.1853,0.11042,0.391524171368341,32095.3706278607,1.05433,2.18844,0.14783,0.00321,0.393163469184601,32042.3253926302,1.09315,2.11186,0.21158,0.0003,0.408735971372074,31364.968923391,1.09026,2.13637,0.12905,0.11654,-0.01347,0.01731,0.412745029032805,31120.7926026274,3.51101109592738,0.0630317826927571,0.231766354073109,0.630968813665493,3.26020532255337,0.0731288242285467,2.04319225805399,0.133517127859459,0.541379724733157,0.583175613618732,model1,no expect
sub-02,1.14937,1.58974,0.621014453811102,52949.0381787903,1.07557,1.7006,0.19898,0.638990201766145,51008.216005459,1.08996,1.63198,0.31323,-0.39162,0.657797320629984,48905.185520625,1.09564,1.7246,0.15316,0.23206,0.639682763660414,50933.9135724454,1.01166,1.70425,0.87073,0.62931,-0.35579,0.10064,0.692438441182758,44851.5287779973,5.36493819761171,0.0219870510296093,6.0203077596461,0.0153702916445988,0.204232109655343,0.652025657190347,6.23618241923849,0.00255353289755345,9.35719611463507,0.000154576707529053,model3mod,expect learn by mod
sub-03,1.26744,1.108,0.255050179369611,15911.8841933167,1.2891,1.10191,0.16057,0.306731969596697,14717.2178803239,1.29071,1.0914,0.13591,0.12222,0.325740919132576,14479.5971995616,1.27885,1.10001,0.09154,0.20074,0.306199145966244,14588.7422730905,1.27701,1.08729,0.18123,0.02427,0.07438,0.1151,0.31588152161337,14454.8232124195,11.4456381295539,0.000927942867088527,2.2975014324107,0.13183692125235,1.23290854523149,0.268745598291345,0.118258458625392,0.888556331046813,0.639261722575741,0.52923716823631,model2,expect
sub-04,0.86967,1.41661,0.590922460928315,19466.4838327721,0.85567,1.49832,0.25675,0.676210066342566,16742.0129163497,0.8542,1.49063,0.3258,0.05384,0.681617228218948,16543.5775907307,0.84852,1.46313,0.343,0.16435,0.686713042158982,16412.6171150037,0.85369,1.42536,0.41205,0.77609,-0.06617,1,0.715290377705024,15029.2817852586,22.9452934443986,4.1708640915461e-06,1.67925863884654,0.197155351724468,2.80975373185867,0.0959245131927235,6.9521892044146,0.00132833256524167,6.35094471686834,0.00229861822173283,model2,expect
sub-05,1.81319,0.7809,0.457035998809034,44921.7163265745,1.95634,0.84833,0.34016,0.572265515965475,37818.3158344917,1.94443,0.83971,0.5021,0.02528,0.583898929447049,37124.6922944246,1.94104,0.85682,0.31526,0.36723,0.571586612452982,37776.9319215286,1.89844,0.85745,0.70006,0.31056,0.13204,-0.01551,0.598128085747728,35894.7805360931,26.4839786564529,8.74955837448788e-07,2.61570641015093,0.108061371572901,0.153367346688508,0.695933392214248,2.36424098594332,0.0978188010334485,3.61803147018733,0.0294116034014174,model2,expect
sub-06,1.26593,1.53482,0.356215946019377,11494.241309078,1.4502,1.60929,0.46751,0.603943773781857,8299.10097617021,1.44777,1.60787,0.52291,0.05612,0.605350854238738,8283.6948726551,1.45977,1.6063,0.48013,0.4573,0.603741691412157,8297.21682138767,1.45768,1.6063,0.4961,0.54554,0.02123,1,0.63744977099499,7864.94026212346,54.2847699086438,1.3329670700557e-11,0.260373483725814,0.610667250929967,0.031791584483465,0.858743598140691,3.67378100324977,0.0278947264885457,3.79241057085638,0.0249256361928829,model2,expect
sub-08,2.07983,0.844,0.389734244036127,12125.2182985139,2.08398,0.84673,0.13912,0.475454538173431,10948.1751263608,2.08121,0.84224,0.20563,0.077,0.488851631890227,10761.5417666597,2.08477,0.84618,0.16144,0.11455,0.477282591091628,10914.8234821096,2.07926,0.84636,0.30515,0.11568,0.1327,-0.0052,0.419704954601371,11765.2301989751,15.1589726468636,0.000151970548320723,2.42796719324194,0.121445089215456,0.427787971360363,0.514149295419408,-5.88637031817639,1,-4.98741312080989,1,model2,expect
sub-09,1.14381,1.59459,0.600155015088355,34166.5784880811,1.19409,1.84032,0.3994,0.735920400147666,21782.0385696971,1.18472,1.83988,0.48385,0.01499,0.740610426208283,21481.904800183,1.20472,1.77249,0.44617,0.32498,0.737329928901757,21511.8303846709,1.21735,1.76993,0.41562,0.35843,-0.07613,0.00695,0.739342860372776,21378.4663377593,80.1678925920857,1.77635683940025e-15,1.95600567653679,0.164152462565521,1.75852752774683,0.186967720088276,0.333852475405389,0.716736214073981,0.430438698993521,0.651093731581739,model2,expect
sub-10,1.12644,0.98351,0.311078019301941,62577.4863815419,1.44424,1.21261,0.60622,0.620476153034249,30780.3614856348,1.44265,1.22381,0.54512,-0.01109,0.624209219139301,30565.8810369976,1.7061,1.06858,0.73739,0.36372,0.647553934763014,28028.1578576713,1.70141,1.07261,0.69685,0.30108,-0.01475,-0.0217,0.649840842594564,27883.8941560127,145.657633436674,0,0.982378449123227,0.323322265132447,13.7471934428055,0.000300539622162921,6.63670195248006,0.00177026786479362,0.35698727583553,0.700425710386742,model2mod,expect by mod
sub-11,0.94114,1.28293,0.564940423893669,46564.572059923,0.9413,1.288,0.03872,0.564957986160071,46442.916291337,0.90935,1.30049,0.48478,0.11857,0.59640578324112,43945.9315317923,0.94114,1.3099,0,0.1764,0.57775483045968,45397.3943582695,0.91234,1.33095,0.45496,0.26724,0.15006,-0.28361,0.596968780072046,43855.7039960199,0.369345095881022,0.544339050547809,7.95472650484964,0.00549312340272423,3.22426149558942,0.0747113937160599,0.141958728307385,0.867783605975756,2.42560545841145,0.0921862305873855,model1,no expect
