"","modality","type","period","brain_measure","estimate","SE","DF","t","p","effect","sig","sig_level","brain_measure_name","subtype"
"1","pain","neuromarker","stim","nps",0.143,0.027,2895.21,5.23,0,"stim_int",TRUE,"***","NPS","pain_neuromarker"
"2","vision","neuromarker","stim","nps",-0.015,0.03,2947.11,-0.5,0.617,"stim_int",FALSE,"","NPS","pain_neuromarker"
"3","pain","neuromarker","stim","siips",-0.017,0.028,2936.19,-0.59,0.552,"stim_int",FALSE,"","SIIPS","pain_neuromarker"
"4","vision","neuromarker","stim","siips",-0.027,0.03,2935.65,-0.88,0.377,"stim_int",FALSE,"","SIIPS","pain_neuromarker"
"5","pain","pain","stim","Thal_VPLM_R",0.112,0.029,2946.48,3.88,0,"stim_int",TRUE,"***","Right VPL/VPM Thal","pain_early_percept"
"6","vision","pain","stim","Thal_VPLM_R",0.043,0.031,2964.47,1.4,0.162,"stim_int",FALSE,"","Right VPL/VPM Thal","pain_early_percept"
"7","pain","pain","stim","Thal_VPLM_L",0.084,0.029,2906.78,2.93,0.003,"stim_int",TRUE,"**","Left VPL/VPM Thal","pain_early_percept"
"8","vision","pain","stim","Thal_VPLM_L",0.041,0.031,2965.46,1.34,0.181,"stim_int",FALSE,"","Left VPL/VPM Thal","pain_early_percept"
"9","pain","pain","stim","Thal_MD",0.097,0.029,2948.53,3.34,0.001,"stim_int",TRUE,"**","Med Thal","pain_percept"
"10","vision","pain","stim","Thal_MD",0.009,0.031,2911.23,0.28,0.777,"stim_int",FALSE,"","Med Thal","pain_percept"
"11","pain","pain","stim","Bstem_PAG",0.141,0.03,2907.27,4.71,0,"stim_int",TRUE,"***","PAG","pain_percept"
"12","vision","pain","stim","Bstem_PAG",-0.006,0.031,2917.3,-0.18,0.854,"stim_int",FALSE,"","PAG","pain_percept"
"13","pain","pain","stim","dpIns_L",0.145,0.028,2906,5.17,0,"stim_int",TRUE,"***","Left dpIns","pain_early_percept"
"14","vision","pain","stim","dpIns_L",0.006,0.031,2950.22,0.18,0.855,"stim_int",FALSE,"","Left dpIns","pain_early_percept"
"15","pain","pain","stim","dpIns_R",0.155,0.027,2948.32,5.67,0,"stim_int",TRUE,"***","Right dpIns","pain_early_percept"
"16","vision","pain","stim","dpIns_R",-0.02,0.031,2948.55,-0.65,0.515,"stim_int",FALSE,"","Right dpIns","pain_early_percept"
"17","pain","pain","stim","aIns_L",0.093,0.029,2948.31,3.21,0.001,"stim_int",TRUE,"**","Left aIns","pain_other"
