"","modality","type","period","brain_measure","stim_int_estimate","stim_int_SE","stim_int_DF","stim_int_t","stim_int_p","cue_mean_estimate","cue_mean_SE","cue_mean_DF","cue_mean_t","cue_mean_p","cue_var_estimate","cue_var_SE","cue_var_DF","cue_var_t","cue_var_p","cue_sk_neg_sym_estimate","cue_sk_neg_sym_SE","cue_sk_neg_sym_DF","cue_sk_neg_sym_t","cue_sk_neg_sym_p","cue_sk_pos_sym_estimate","cue_sk_pos_sym_SE","cue_sk_pos_sym_DF","cue_sk_pos_sym_t","cue_sk_pos_sym_p","cue_mean_X_var_estimate","cue_mean_X_var_SE","cue_mean_X_var_DF","cue_mean_X_var_t","cue_mean_X_var_p","stim_int_X_cue_mean_estimate","stim_int_X_cue_mean_SE","stim_int_X_cue_mean_DF","stim_int_X_cue_mean_t","stim_int_X_cue_mean_p"
"1","pain","neuromarker","stim","nps",0.143,0.027,2895.21,5.23,0,0.022,0.03,202.09,0.74,0.462,0.006,0.027,2895.26,0.24,0.812,0.047,0.039,2894.92,1.21,0.225,0.017,0.038,2895.6,0.45,0.653,0.006,0.027,2904.36,0.21,0.836,-0.016,0.027,2894,-0.57,0.567
"5","vision","neuromarker","stim","nps",-0.015,0.03,2947.11,-0.5,0.617,-0.013,0.03,2946.43,-0.45,0.652,0.022,0.03,2947.94,0.75,0.456,-0.055,0.042,2947.36,-1.29,0.196,0.038,0.042,2947.25,0.9,0.368,0,0.03,2946.37,0.02,0.988,0.005,0.03,2946.45,0.15,0.877
"6058","pain","neuromarker","stim","siips",-0.017,0.028,2936.19,-0.59,0.552,0.066,0.028,2936.51,2.33,0.02,0.016,0.028,2937.62,0.55,0.586,-0.011,0.04,2936.81,-0.27,0.785,-0.012,0.04,2937.06,-0.31,0.757,-0.007,0.028,2936.44,-0.24,0.814,0.001,0.028,2936.63,0.05,0.96
"6062","vision","neuromarker","stim","siips",-0.027,0.03,2935.65,-0.88,0.377,-0.005,0.03,2935.08,-0.17,0.864,0.051,0.03,2936.69,1.68,0.094,0.008,0.043,2936.1,0.2,0.844,0.035,0.043,2935.89,0.81,0.417,-0.011,0.03,2934.91,-0.38,0.704,0.001,0.03,2935.1,0.04,0.971
"12115","pain","pain","stim","Thal_VPLM_R",0.112,0.029,2946.48,3.88,0,-0.025,0.029,2946.87,-0.87,0.385,0.008,0.029,2947.69,0.28,0.783,-0.031,0.041,2946.92,-0.75,0.456,-0.045,0.041,2947.29,-1.1,0.273,-0.006,0.029,2946.78,-0.21,0.836,-0.027,0.029,2947.02,-0.94,0.346
"12119","vision","pain","stim","Thal_VPLM_R",0.043,0.031,2964.47,1.4,0.162,-0.062,0.031,2963.45,-2,0.046,-0.033,0.031,2964.66,-1.07,0.284,-0.085,0.044,2963.83,-1.93,0.054,-0.004,0.044,2964.26,-0.1,0.923,0.026,0.031,2963.31,0.83,0.408,0.025,0.031,2963.36,0.8,0.425
"18172","pain","pain","stim","Thal_VPLM_L",0.084,0.029,2906.78,2.93,0.003,-0.043,0.029,314.36,-1.47,0.141,0.001,0.029,2906.58,0.05,0.962,0.013,0.04,2906.09,0.31,0.757,-0.005,0.04,2907.15,-0.13,0.898,0.006,0.029,2914.76,0.22,0.83,0.005,0.029,2905.59,0.17,0.862
"18176","vision","pain","stim","Thal_VPLM_L",0.041,0.031,2965.46,1.34,0.181,-0.027,0.031,2964.56,-0.89,0.375,-0.024,0.031,2965.59,-0.77,0.441,-0.03,0.044,2965.06,-0.7,0.487,-0.01,0.043,2965.24,-0.22,0.823,0.022,0.031,2964.35,0.7,0.481,0.012,0.031,2964.58,0.39,0.696
"24229","pain","pain","stim","Thal_MD",0.097,0.029,2948.53,3.34,0.001,-0.005,0.029,2948.92,-0.16,0.872,-0.027,0.029,2949.77,-0.94,0.347,0.017,0.041,2949.01,0.42,0.674,-0.017,0.041,2949.36,-0.41,0.68,-0.01,0.029,2948.84,-0.35,0.728,-0.01,0.029,2949.08,-0.35,0.726
"24233","vision","pain","stim","Thal_MD",0.009,0.031,2911.23,0.28,0.777,-0.016,0.031,355.32,-0.5,0.614,-0.035,0.031,2911.42,-1.15,0.251,-0.068,0.044,2910.36,-1.56,0.118,0.007,0.044,2910.53,0.15,0.879,0.041,0.031,2912.24,1.32,0.186,-0.024,0.031,2912.52,-0.78,0.438
