,participant,block,trial_num,modality,stim_level,stim_value,rating,RT,vas_initial_value,block_onset,trial_onset,fixation_onset,anticipation_duration,stim_onset,stim_duration,stim_offset,stim_rating_delay,rating_onset,rating_offset,iti_duration
1,sub-01,1,1,vision,5,0.95,88.34700521,4.338168123,65,1784.892224,1784.944583,1786.44624,2.5,1788.898964,2,1790.901045,5,1795.88995,1800.228119,5
2,sub-01,1,2,vision,1,0.05,14.28059896,3.804278623,5,1784.892224,1805.250293,1806.751953,2,1808.754089,2,1810.756286,6,1816.746276,1820.550555,5
3,sub-01,1,3,vision,1,0.05,6.657552083,2.919972201,95,1784.892224,1825.572729,1827.074411,2,1829.076499,2,1831.078701,5,1836.067551,1838.987523,3
4,sub-01,1,4,vision,3,0.5,27.24088542,3.737369576,65,1784.892224,1842.007505,1843.509196,3,1846.512515,2,1848.514609,5,1853.503535,1857.240904,2
5,sub-01,1,5,vision,3,0.5,23.06705729,2.185759662,95,1784.892224,1859.276462,1860.778132,2.5,1863.264215,2,1865.26652,6,1871.256435,1873.442194,2
6,sub-01,1,6,vision,3,0.5,28.359375,1.918935339,35,1784.892224,1875.47777,1876.979466,2,1878.964905,2,1880.967078,6,1886.957017,1888.875953,3
7,sub-01,1,7,vision,1,0.05,7.901041667,3.537281519,35,1784.892224,1891.8958,1893.397568,2,1895.399886,2,1897.40196,6,1903.391887,1906.929168,5
8,sub-01,1,8,vision,4,0.725,44.43815104,8.642982255,5,1784.892224,1911.951344,1913.453028,2.5,1915.955704,2,1917.957998,6,1923.947882,1932.590864,4
9,sub-01,1,9,vision,4,0.725,44.4453125,1.952292242,5,1784.892224,1936.611805,1938.113572,3,1941.116775,2,1943.119107,5,1948.107798,1950.06009,3
10,sub-01,1,10,vision,2,0.275,15.94661458,1.918792902,35,1784.892224,1953.080084,1954.581714,2.5,1957.08451,2,1959.086575,5,1964.075505,1965.994298,3
11,sub-01,1,11,vision,5,0.95,94.35807292,2.235899594,65,1784.892224,1969.014298,1970.515985,3.5,1974.019824,2,1976.02203,5,1981.010785,1983.246685,5
12,sub-01,1,12,vision,4,0.725,59.73242188,2.269159111,95,1784.892224,1988.268876,1989.770449,3,1992.773852,2,1994.776054,5,1999.764811,2002.03397,4
13,sub-01,1,13,vision,2,0.275,22.29296875,3.337004104,95,1784.892224,2006.055198,2007.556849,2,2009.558947,2,2011.561154,6,2017.55119,2020.888194,2
14,sub-01,1,14,vision,3,0.5,16.51367188,2.035725194,95,1784.892224,2022.923705,2024.425349,2,2026.41095,2,2028.413205,5,2033.40196,2035.437685,2
15,sub-01,1,15,vision,5,0.95,100,1.31809065,5,1784.892224,2037.823585,2039.325241,3.5,2042.812431,2,2044.814602,6,2050.821199,2052.139289,5
16,sub-01,1,16,vision,4,0.725,38.29947917,2.069056816,65,1784.892224,2057.161546,2058.663243,2.5,2061.165895,2,2063.168084,5,2068.156944,2070.226001,3
17,sub-01,1,17,vision,5,0.95,84.921875,2.085546,65,1784.892224,2073.2459,2074.74764,2.5,2077.250418,2,2079.252626,5,2084.241405,2086.326951,2
18,sub-01,1,18,vision,2,0.275,14.90104167,2.285982688,65,1784.892224,2088.362552,2089.86432,2,2091.849819,2,2093.852051,5,2098.840832,2101.126814,2
